patient,feature_set,seed,arm,recipient,target_donor,control_donor,target_pixel_rms,control_pixel_rms,relative_amplitude_mismatch,other_tissue_drift,control_tissue_drift,numerical_checks_pass,observed_fraction_change,predicted_fraction_change,change_absolute_error
TCGA-A1-A0SP,rgb,37,target,17,32,31,0.19222699105739594,0.18005594611167908,0.06331600405732188,0.0,0.0833740234375,False,-0.010171369649469852,-0.0013939142227172852,0.008777455426752567
TCGA-A1-A0SP,rgb,37,control,17,32,31,0.19222699105739594,0.18005594611167908,0.06331600405732188,0.0,0.0833740234375,False,-0.0009474320686422288,0.0009096860885620117,0.0018571181572042406
TCGA-A1-A0SP,rgb_texture,11,target,15,7,58,0.20722393691539764,0.22119927406311035,0.067440747221294,0.03265380859375,0.1119384765625,False,-0.01003265380859375,-0.011792659759521484,0.0017600059509277344
TCGA-A1-A0SP,rgb_texture,11,control,15,7,58,0.20722393691539764,0.22119927406311035,0.067440747221294,0.03265380859375,0.1119384765625,False,0.0012720281956717372,-0.003849238157272339,0.005121266352944076
TCGA-A1-A0SP,rgb_texture,11,target,16,32,15,0.1961161345243454,0.18863481283187866,0.038147405416753315,0.0,0.11004638671875,False,-0.01108828466385603,-0.00748172402381897,0.00360656064003706
TCGA-A1-A0SP,rgb_texture,11,control,16,32,15,0.1961161345243454,0.18863481283187866,0.038147405416753315,0.0,0.11004638671875,False,-0.0012505271006375551,0.0036563873291015625,0.004906914429739118
TCGA-A1-A0SP,rgb_texture,11,target,17,32,31,0.19222699105739594,0.18005594611167908,0.06331600405732188,0.0,0.0833740234375,False,-0.010171369649469852,-0.006708517670631409,0.0034628519788384438
TCGA-A1-A0SP,rgb_texture,11,control,17,32,31,0.19222699105739594,0.18005594611167908,0.06331600405732188,0.0,0.0833740234375,False,-0.0009474320686422288,0.0012116432189941406,0.0021590752876363695
TCGA-A1-A0SP,rgb_texture,23,target,15,7,58,0.20722393691539764,0.22119927406311035,0.067440747221294,0.03265380859375,0.1119384765625,False,-0.01003265380859375,-0.007574595510959625,0.0024580582976341248
TCGA-A1-A0SP,rgb_texture,23,control,15,7,58,0.20722393691539764,0.22119927406311035,0.067440747221294,0.03265380859375,0.1119384765625,False,0.0012720281956717372,-0.004324115812778473,0.00559614400845021
TCGA-A1-A0SP,rgb_texture,23,target,16,32,15,0.1961161345243454,0.18863481283187866,0.038147405416753315,0.0,0.11004638671875,False,-0.01108828466385603,-0.006987065076828003,0.004101219587028027
TCGA-A1-A0SP,rgb_texture,23,control,16,32,15,0.1961161345243454,0.18863481283187866,0.038147405416753315,0.0,0.11004638671875,False,-0.0012505271006375551,0.0005863159894943237,0.0018368430901318789
TCGA-A1-A0SP,rgb_texture,23,target,17,32,31,0.19222699105739594,0.18005594611167908,0.06331600405732188,0.0,0.0833740234375,False,-0.010171369649469852,-0.007260739803314209,0.0029106298461556435
TCGA-A1-A0SP,rgb_texture,23,control,17,32,31,0.19222699105739594,0.18005594611167908,0.06331600405732188,0.0,0.0833740234375,False,-0.0009474320686422288,-0.0013983100652694702,0.0004508779966272414
TCGA-A1-A0SP,rgb_texture,37,target,15,7,58,0.20722393691539764,0.22119927406311035,0.067440747221294,0.03265380859375,0.1119384765625,False,-0.01003265380859375,-0.015306591987609863,0.005273938179016113
TCGA-A1-A0SP,rgb_texture,37,control,15,7,58,0.20722393691539764,0.22119927406311035,0.067440747221294,0.03265380859375,0.1119384765625,False,0.0012720281956717372,-0.010925203561782837,0.012197231757454574
TCGA-A1-A0SP,rgb_texture,37,target,16,32,15,0.1961161345243454,0.18863481283187866,0.038147405416753315,0.0,0.11004638671875,False,-0.01108828466385603,-0.022421658039093018,0.011333373375236988
TCGA-A1-A0SP,rgb_texture,37,control,16,32,15,0.1961161345243454,0.18863481283187866,0.038147405416753315,0.0,0.11004638671875,False,-0.0012505271006375551,0.0012332499027252197,0.002483777003362775
TCGA-A1-A0SP,rgb_texture,37,target,17,32,31,0.19222699105739594,0.18005594611167908,0.06331600405732188,0.0,0.0833740234375,False,-0.010171369649469852,-0.025030136108398438,0.014858766458928585
TCGA-A1-A0SP,rgb_texture,37,control,17,32,31,0.19222699105739594,0.18005594611167908,0.06331600405732188,0.0,0.0833740234375,False,-0.0009474320686422288,-0.002627074718475342,0.001679642649833113
TCGA-A2-A04P,rgb,11,target,0,17,30,0.2360941469669342,0.2371785044670105,0.004592902933032736,0.0,0.01678466796875,True,-0.0202763881534338,-0.014595448970794678,0.005680939182639122
TCGA-A2-A04P,rgb,11,control,0,17,30,0.2360941469669342,0.2371785044670105,0.004592902933032736,0.0,0.01678466796875,True,-0.00034968057298101485,-0.0029871761798858643,0.0026374956069048494
TCGA-A2-A04P,rgb,11,target,1,23,2,0.22001540660858154,0.22177018225193024,0.007975694386123276,0.001708984375,0.0224609375,True,-0.017078399658203125,-0.014267772436141968,0.0028106272220611572
TCGA-A2-A04P,rgb,11,control,1,23,2,0.22001540660858154,0.22177018225193024,0.007975694386123276,0.001708984375,0.0224609375,True,0.00046793618821538985,-0.00010603666305541992,0.0005739728512708098
TCGA-A2-A04P,rgb,11,target,2,23,31,0.209026038646698,0.20986591279506683,0.0040180360007128855,0.001708984375,0.01348876953125,True,-0.017546335235238075,-0.016944199800491333,0.0006021354347467422
