architecture,seed,layer,train_patient,test_patient,train_nodes,test_nodes,mse,shuffled_mse,constant_mse
GraphSAGE,37,1,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.1827207977342711,0.25872339446385817,0.09732342581264675
GraphSAGE,37,2,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.1253442090092426,0.10952632066872622,0.09732342581264675
GraphSAGE,37,0,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.059896575619184704,0.2703798308445857,0.15980170178227127
GraphSAGE,37,1,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.09029041859994973,0.2415085312780908,0.15980170178227127
GraphSAGE,37,2,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.10490555644947214,0.15912522528463424,0.15980170178227127
GraphSAGE,53,0,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.21290237555153768,0.22315922964620377,0.09732342581264675
GraphSAGE,53,1,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.08326960436089442,0.7930417882243271,0.09732342581264675
GraphSAGE,53,2,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.32875447775667194,0.145920264249639,0.09732342581264675
GraphSAGE,53,0,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.059896575619184704,0.3627303610335425,0.15980170178227127
GraphSAGE,53,1,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.04816764103705805,1.7006449301905193,0.15980170178227127
GraphSAGE,53,2,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.10299814139511265,0.3235284280973078,0.15980170178227127
GraphSAGE,71,0,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.21290237555153768,0.13436140738162713,0.09732342581264675
GraphSAGE,71,1,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.1541464115316062,0.08624805091163831,0.09732342581264675
GraphSAGE,71,2,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.19732906322172986,0.0835128925413488,0.09732342581264675
GraphSAGE,71,0,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.059896575619184704,0.3579040818078264,0.15980170178227127
GraphSAGE,71,1,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.1890494328582554,0.2035982922528688,0.15980170178227127
GraphSAGE,71,2,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.2816773418985228,0.26802158182154745,0.15980170178227127
GATv2,11,0,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.21290237555153768,0.14212849091392807,0.09732342581264675
GATv2,11,1,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.12842102906989758,0.12156628804796975,0.09732342581264675
GATv2,11,2,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.11716329618335733,0.13726403027022727,0.09732342581264675
GATv2,11,0,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.059896575619184704,0.8167902456870512,0.15980170178227127
GATv2,11,1,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.08925754334677637,0.3538425241920607,0.15980170178227127
GATv2,11,2,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.1583707238330293,0.7322245768809261,0.15980170178227127
GATv2,23,0,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.21290237555153768,0.14242306056977705,0.09732342581264675
GATv2,23,1,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.29799577234185193,0.6684739466772097,0.09732342581264675
GATv2,23,2,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.1593995819560757,0.12232470448717192,0.09732342581264675
GATv2,23,0,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.059896575619184704,0.24143019084830514,0.15980170178227127
GATv2,23,1,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.08355267140313344,0.16348259283844935,0.15980170178227127
GATv2,23,2,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.14127917852435018,0.1764683006900653,0.15980170178227127
GATv2,37,0,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.21290237555153768,0.26966176418968985,0.09732342581264675
GATv2,37,1,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.23474209057282577,0.1541295457198682,0.09732342581264675
GATv2,37,2,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.3960704248322852,0.05338225676227901,0.09732342581264675
GATv2,37,0,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.059896575619184704,0.2703798308445857,0.15980170178227127
GATv2,37,1,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,1.437708916126673,0.23360942765389445,0.15980170178227127
GATv2,37,2,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.3360291396197591,0.5710625330556699,0.15980170178227127
GATv2,53,0,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.21290237555153768,0.22315922964620377,0.09732342581264675
GATv2,53,1,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.1367388421189374,0.11631922383667359,0.09732342581264675
GATv2,53,2,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.26040630263449044,0.11725284172696743,0.09732342581264675
GATv2,53,0,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.059896575619184704,0.3627303610335425,0.15980170178227127
GATv2,53,1,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.15637651481765116,0.10540350922751436,0.15980170178227127
GATv2,53,2,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.20774714634686403,0.18686678300910164,0.15980170178227127
GATv2,71,0,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.21290237555153768,0.13436140738162713,0.09732342581264675
GATv2,71,1,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.2780476625448214,0.09410577755332494,0.09732342581264675
GATv2,71,2,TCGA-A1-A0SP,TCGA-A1-A0SK,64,64,0.13045018149660936,0.11553386308287547,0.09732342581264675
GATv2,71,0,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.059896575619184704,0.3579040818078264,0.15980170178227127
GATv2,71,1,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.06782947991650135,0.22797096331317684,0.15980170178227127
GATv2,71,2,TCGA-A1-A0SK,TCGA-A1-A0SP,64,64,0.19767211341154367,0.162245931517766,0.15980170178227127
