architecture,patient,factor,repeat,probability_IC_change
GCN,54,1.05,19,-0.0033231377601623535
GCN,56,0.95,0,-0.003928184509277344
GCN,56,0.95,1,0.010942354798316956
GCN,56,0.95,2,0.008651748299598694
GCN,56,0.95,3,-0.0028035342693328857
GCN,56,0.95,4,0.003260493278503418
GCN,56,0.95,5,0.005076795816421509
GCN,56,0.95,6,0.0037570595741271973
GCN,56,0.95,7,0.003495529294013977
GCN,56,0.95,8,-0.003669917583465576
GCN,56,0.95,9,-0.00749516487121582
GCN,56,0.95,10,0.00031998753547668457
GCN,56,0.95,11,-0.011340826749801636
GCN,56,0.95,12,-0.006587564945220947
GCN,56,0.95,13,-0.000810474157333374
GCN,56,0.95,14,-0.0026870667934417725
GCN,56,0.95,15,-0.0044731199741363525
GCN,56,0.95,16,-0.00876113772392273
GCN,56,0.95,17,0.003344118595123291
GCN,56,0.95,18,0.010931149125099182
GCN,56,0.95,19,0.0027465373277664185
GCN,56,1.05,0,0.0013091564178466797
GCN,56,1.05,1,0.0008958578109741211
GCN,56,1.05,2,-0.0035794973373413086
GCN,56,1.05,3,-0.00703100860118866
GCN,56,1.05,4,0.006756633520126343
GCN,56,1.05,5,0.0031504034996032715
GCN,56,1.05,6,-0.0009796619415283203
GCN,56,1.05,7,0.0015654265880584717
GCN,56,1.05,8,-0.002211332321166992
GCN,56,1.05,9,0.006087362766265869
GCN,56,1.05,10,0.0024694502353668213
GCN,56,1.05,11,-0.0023588985204696655
GCN,56,1.05,12,-0.00045709311962127686
GCN,56,1.05,13,0.012052923440933228
GCN,56,1.05,14,0.00932765007019043
GCN,56,1.05,15,-0.006526455283164978
GCN,56,1.05,16,0.00512540340423584
GCN,56,1.05,17,0.002348974347114563
GCN,56,1.05,18,-0.009027719497680664
GCN,56,1.05,19,-0.006406471133232117
GCN,58,0.95,0,-0.012165963649749756
GCN,58,0.95,1,-0.008183807134628296
GCN,58,0.95,2,0.0040288567543029785
GCN,58,0.95,3,0.008169680833816528
GCN,58,0.95,4,0.0019230842590332031
GCN,58,0.95,5,0.006888896226882935
GCN,58,0.95,6,-0.00982588529586792
GCN,58,0.95,7,-0.00972089171409607
GCN,58,0.95,8,0.011437058448791504
GCN,58,0.95,9,-0.002248823642730713
GCN,58,0.95,10,0.010410010814666748
GCN,58,0.95,11,0.012718021869659424
GCN,58,0.95,12,0.0008016228675842285
GCN,58,0.95,13,0.0033541321754455566
GCN,58,0.95,14,-0.002627849578857422
GCN,58,0.95,15,-0.008350461721420288
GCN,58,0.95,16,-0.014999598264694214
GCN,58,0.95,17,0.003103911876678467
GCN,58,0.95,18,-0.004693925380706787
GCN,58,0.95,19,0.007126331329345703
GCN,58,1.05,0,-0.0005712509155273438
GCN,58,1.05,1,0.0033285915851593018
GCN,58,1.05,2,-0.006713807582855225
GCN,58,1.05,3,0.004588276147842407
GCN,58,1.05,4,0.0015806257724761963
GCN,58,1.05,5,-0.006388038396835327
GCN,58,1.05,6,0.0006876587867736816
GCN,58,1.05,7,-0.004923105239868164
GCN,58,1.05,8,0.0008849203586578369
GCN,58,1.05,9,-0.017071783542633057
GCN,58,1.05,10,-0.007417023181915283
GCN,58,1.05,11,0.009089261293411255
GCN,58,1.05,12,0.002272367477416992
GCN,58,1.05,13,0.018872082233428955
GCN,58,1.05,14,0.009863436222076416
GCN,58,1.05,15,-0.00906062126159668
GCN,58,1.05,16,-0.0012669265270233154
GCN,58,1.05,17,-0.014649927616119385
GCN,58,1.05,18,-0.006852239370346069
GCN,58,1.05,19,0.00022852420806884766
GCN,59,0.95,0,-0.01373434066772461
GCN,59,0.95,1,0.010336160659790039
GCN,59,0.95,2,0.010498762130737305
GCN,59,0.95,3,0.01581287384033203
GCN,59,0.95,4,-0.0020906925201416016
GCN,59,0.95,5,0.015488266944885254
GCN,59,0.95,6,-0.008934319019317627
GCN,59,0.95,7,0.000538945198059082
GCN,59,0.95,8,0.004990994930267334
GCN,59,0.95,9,-0.0020328164100646973
GCN,59,0.95,10,-0.006817460060119629
GCN,59,0.95,11,0.010194063186645508
GCN,59,0.95,12,-0.0028273463249206543
GCN,59,0.95,13,-0.009397149085998535
GCN,59,0.95,14,-0.00746569037437439
GCN,59,0.95,15,-0.006233572959899902
GCN,59,0.95,16,-0.008185923099517822
GCN,59,0.95,17,0.012173891067504883
GCN,59,0.95,18,-0.009911954402923584
GCN,59,0.95,19,0.003203749656677246
GCN,59,1.05,0,0.0008165836334228516
GCN,59,1.05,1,0.0010833740234375
GCN,59,1.05,2,0.0015371441841125488
GCN,59,1.05,3,0.002339780330657959
GCN,59,1.05,4,0.011842966079711914
GCN,59,1.05,5,-0.011976122856140137
GCN,59,1.05,6,0.009649336338043213
GCN,59,1.05,7,-0.0018908381462097168
GCN,59,1.05,8,-0.013655513525009155
GCN,59,1.05,9,0.00015658140182495117
GCN,59,1.05,10,0.0044387876987457275
GCN,59,1.05,11,0.0020551681518554688
GCN,59,1.05,12,0.00746840238571167
GCN,59,1.05,13,-0.004070162773132324
GCN,59,1.05,14,-0.01114499568939209
GCN,59,1.05,15,-0.011125326156616211
GCN,59,1.05,16,0.0036541223526000977
GCN,59,1.05,17,-0.0027998387813568115
GCN,59,1.05,18,0.003975778818130493
GCN,59,1.05,19,0.004327118396759033
GCN,7,0.95,0,-0.00690913200378418
GCN,7,0.95,1,-0.004949003458023071
GCN,7,0.95,2,-0.0029793083667755127
GCN,7,0.95,3,-0.0012413263320922852
GCN,7,0.95,4,0.000821530818939209
GCN,7,0.95,5,-0.00035184621810913086
GCN,7,0.95,6,-0.005279332399368286
GCN,7,0.95,7,-0.008612751960754395
GCN,7,0.95,8,0.0025246143341064453
GCN,7,0.95,9,-0.0010354816913604736
GCN,7,0.95,10,-0.012287884950637817
GCN,7,0.95,11,-0.004031956195831299
GCN,7,0.95,12,-0.002627432346343994
GCN,7,0.95,13,-0.0032400190830230713
GCN,7,0.95,14,0.0053209662437438965
GCN,7,0.95,15,0.005797713994979858
GCN,7,0.95,16,-0.0046163201332092285
GCN,7,0.95,17,-0.003545224666595459
GCN,7,0.95,18,-0.0006164610385894775
GCN,7,0.95,19,-0.0032664835453033447
GCN,7,1.05,0,-0.0067865848541259766
GCN,7,1.05,1,-0.00456547737121582
GCN,7,1.05,2,-0.007022172212600708
GCN,7,1.05,3,-0.011064678430557251
GCN,7,1.05,4,0.012103885412216187
GCN,7,1.05,5,-0.0037986338138580322
GCN,7,1.05,6,0.006269395351409912
GCN,7,1.05,7,0.012556731700897217
GCN,7,1.05,8,-0.003551006317138672
GCN,7,1.05,9,-0.005654573440551758
GCN,7,1.05,10,0.005064666271209717
GCN,7,1.05,11,0.0005296170711517334
GCN,7,1.05,12,0.006264686584472656
GCN,7,1.05,13,-0.0023581087589263916
GCN,7,1.05,14,-0.01166921854019165
GCN,7,1.05,15,0.0014768242835998535
GCN,7,1.05,16,0.005823075771331787
GCN,7,1.05,17,0.0075279176235198975
GCN,7,1.05,18,0.012085050344467163
GCN,7,1.05,19,0.010153621435165405
GCN,87,0.95,0,0.00026997923851013184
GCN,87,0.95,1,-0.004286676645278931
GCN,87,0.95,2,0.00447767972946167
GCN,87,0.95,3,0.003140658140182495
GCN,87,0.95,4,0.012036889791488647
GCN,87,0.95,5,0.013727962970733643
GCN,87,0.95,6,-0.010622024536132812
GCN,87,0.95,7,-0.0019499361515045166
GCN,87,0.95,8,0.013600647449493408
GCN,87,0.95,9,-0.005528360605239868
GCN,87,0.95,10,0.0017224550247192383
GCN,87,0.95,11,-0.00014609098434448242
GCN,87,0.95,12,-0.0018930435180664062
GCN,87,0.95,13,-0.005088388919830322
GCN,87,0.95,14,-0.000835716724395752
GCN,87,0.95,15,-0.005958735942840576
GCN,87,0.95,16,0.00860750675201416
GCN,87,0.95,17,-0.0027434229850769043
GCN,87,0.95,18,-0.011591970920562744
GCN,87,0.95,19,-0.0005311071872711182
GCN,87,1.05,0,0.0012216269969940186
GCN,87,1.05,1,0.005548238754272461
GCN,87,1.05,2,0.00011476874351501465
GCN,87,1.05,3,0.0012653768062591553
GCN,87,1.05,4,-0.0033809244632720947
GCN,87,1.05,5,-0.0017856359481811523
GCN,87,1.05,6,0.0024213790893554688
GCN,87,1.05,7,0.0026485323905944824
GCN,87,1.05,8,0.0009728372097015381
GCN,87,1.05,9,-0.008413702249526978
GCN,87,1.05,10,0.012564599514007568
GCN,87,1.05,11,0.006910175085067749
GCN,87,1.05,12,0.007436156272888184
GCN,87,1.05,13,-0.006132990121841431
GCN,87,1.05,14,0.0031961798667907715
GCN,87,1.05,15,0.015049159526824951
GCN,87,1.05,16,0.002552330493927002
GCN,87,1.05,17,0.003166794776916504
GCN,87,1.05,18,-0.00892341136932373
GCN,87,1.05,19,0.0045427680015563965
GCN,9,0.95,0,-0.03209608793258667
GCN,9,0.95,1,-0.02894449234008789
GCN,9,0.95,2,0.0011251568794250488
GCN,9,0.95,3,0.029213011264801025
GCN,9,0.95,4,0.010776638984680176
GCN,9,0.95,5,-0.023339569568634033
GCN,9,0.95,6,-0.03162151575088501
GCN,9,0.95,7,-0.022578418254852295
GCN,9,0.95,8,-0.023783206939697266
GCN,9,0.95,9,0.02055126428604126
GCN,9,0.95,10,0.0035280585289001465
GCN,9,0.95,11,-0.010811388492584229
GCN,9,0.95,12,0.02505028247833252
GCN,9,0.95,13,-0.011612355709075928
GCN,9,0.95,14,-0.009597063064575195
GCN,9,0.95,15,0.002011418342590332
GCN,9,0.95,16,-0.013284385204315186
GCN,9,0.95,17,-0.0030484795570373535
GCN,9,0.95,18,-0.0030696988105773926
GCN,9,0.95,19,-0.012087762355804443
GCN,9,1.05,0,-0.008261024951934814
GCN,9,1.05,1,-0.0021837949752807617
GCN,9,1.05,2,0.004888772964477539
GCN,9,1.05,3,-0.020693957805633545
GCN,9,1.05,4,-0.007191777229309082
GCN,9,1.05,5,0.003567993640899658
GCN,9,1.05,6,-0.008939206600189209
GCN,9,1.05,7,0.018421947956085205
GCN,9,1.05,8,0.010205447673797607
GCN,9,1.05,9,0.023363769054412842
GCN,9,1.05,10,-0.009924650192260742
GCN,9,1.05,11,-0.002971172332763672
GCN,9,1.05,12,-0.017349064350128174
GCN,9,1.05,13,0.004519164562225342
GCN,9,1.05,14,0.018351376056671143
GCN,9,1.05,15,-0.007021963596343994
GCN,9,1.05,16,0.01805490255355835
GCN,9,1.05,17,0.012963056564331055
GCN,9,1.05,18,-0.00029861927032470703
GCN,9,1.05,19,0.008528590202331543
GraphSAGE,101,0.95,0,0.0020602047443389893
GraphSAGE,101,0.95,1,0.013792306184768677
GraphSAGE,101,0.95,2,0.00439608097076416
GraphSAGE,101,0.95,3,0.0014449357986450195
GraphSAGE,101,0.95,4,-0.00214231014251709
GraphSAGE,101,0.95,5,0.0010497868061065674
GraphSAGE,101,0.95,6,0.004066526889801025
GraphSAGE,101,0.95,7,-0.00897333025932312
GraphSAGE,101,0.95,8,0.00197640061378479
GraphSAGE,101,0.95,9,0.01334121823310852
GraphSAGE,101,0.95,10,0.011730343103408813
GraphSAGE,101,0.95,11,0.004461914300918579
GraphSAGE,101,0.95,12,-0.0011088252067565918
GraphSAGE,101,0.95,13,-0.010333389043807983
GraphSAGE,101,0.95,14,0.0004980862140655518
GraphSAGE,101,0.95,15,0.0042991042137146
GraphSAGE,101,0.95,16,0.016517311334609985
GraphSAGE,101,0.95,17,0.00235593318939209
GraphSAGE,101,0.95,18,0.01077568531036377
GraphSAGE,101,0.95,19,0.006489396095275879
GraphSAGE,101,1.05,0,0.011978060007095337
GraphSAGE,101,1.05,1,0.0058616697788238525
GraphSAGE,101,1.05,2,-0.0003916919231414795
GraphSAGE,101,1.05,3,0.005850255489349365
GraphSAGE,101,1.05,4,-0.00021702051162719727
GraphSAGE,101,1.05,5,0.007234841585159302
GraphSAGE,101,1.05,6,-0.010848164558410645
GraphSAGE,101,1.05,7,-0.009055554866790771
GraphSAGE,101,1.05,8,0.005664139986038208
GraphSAGE,101,1.05,9,-0.0011211633682250977
GraphSAGE,101,1.05,10,0.004103928804397583
GraphSAGE,101,1.05,11,-0.003926128149032593
GraphSAGE,101,1.05,12,0.009437382221221924
GraphSAGE,101,1.05,13,-0.012866854667663574
GraphSAGE,101,1.05,14,-0.004375666379928589
GraphSAGE,101,1.05,15,-0.01795777678489685
GraphSAGE,101,1.05,16,0.009033232927322388
GraphSAGE,101,1.05,17,-0.009115219116210938
GraphSAGE,101,1.05,18,0.0028224289417266846
GraphSAGE,101,1.05,19,0.006018936634063721
GraphSAGE,102,0.95,0,-6.74128532409668e-05
GraphSAGE,102,0.95,1,0.006041467189788818
GraphSAGE,102,0.95,2,-0.0018767714500427246
GraphSAGE,102,0.95,3,-0.0041800737380981445
GraphSAGE,102,0.95,4,0.00029844045639038086
GraphSAGE,102,0.95,5,-0.017061829566955566
GraphSAGE,102,0.95,6,-0.011723041534423828
GraphSAGE,102,0.95,7,1.5914440155029297e-05
GraphSAGE,102,0.95,8,-0.006864726543426514
GraphSAGE,102,0.95,9,-0.00013566017150878906
GraphSAGE,102,0.95,10,-0.0064067840576171875
GraphSAGE,102,0.95,11,0.0065288543701171875
GraphSAGE,102,0.95,12,0.0142594575881958
GraphSAGE,102,0.95,13,0.02123737335205078
GraphSAGE,102,0.95,14,-0.0006055831909179688
GraphSAGE,102,0.95,15,0.00886005163192749
GraphSAGE,102,0.95,16,-0.015037298202514648
GraphSAGE,102,0.95,17,-0.008270621299743652
GraphSAGE,102,0.95,18,-0.003995656967163086
GraphSAGE,102,0.95,19,0.020137488842010498
GraphSAGE,102,1.05,0,0.009338140487670898
GraphSAGE,102,1.05,1,-0.0167047381401062
GraphSAGE,102,1.05,2,0.019846200942993164
GraphSAGE,102,1.05,3,0.009407520294189453
GraphSAGE,102,1.05,4,0.01094907522201538
GraphSAGE,102,1.05,5,-0.004657268524169922
GraphSAGE,102,1.05,6,0.016719400882720947
GraphSAGE,102,1.05,7,-0.019348502159118652
GraphSAGE,102,1.05,8,-0.02073889970779419
GraphSAGE,102,1.05,9,-0.013360977172851562
GraphSAGE,102,1.05,10,0.0012774467468261719
GraphSAGE,102,1.05,11,-0.006772041320800781
GraphSAGE,102,1.05,12,0.016599416732788086
GraphSAGE,102,1.05,13,0.0045656561851501465
GraphSAGE,102,1.05,14,-0.009276628494262695
GraphSAGE,102,1.05,15,0.01499795913696289
GraphSAGE,102,1.05,16,-0.0059716105461120605
GraphSAGE,102,1.05,17,0.005151569843292236
GraphSAGE,102,1.05,18,-0.01129370927810669
GraphSAGE,102,1.05,19,-0.018507182598114014
GraphSAGE,106,0.95,0,0.010858237743377686
GraphSAGE,106,0.95,1,-0.007725954055786133
GraphSAGE,106,0.95,2,0.021869242191314697
GraphSAGE,106,0.95,3,0.005912303924560547
GraphSAGE,106,0.95,4,0.001453101634979248
GraphSAGE,106,0.95,5,-0.02677065134048462
GraphSAGE,106,0.95,6,-0.00040012598037719727
GraphSAGE,106,0.95,7,-0.018361985683441162
GraphSAGE,106,0.95,8,0.010747432708740234
GraphSAGE,106,0.95,9,0.016143321990966797
GraphSAGE,106,0.95,10,-0.02260226011276245
GraphSAGE,106,0.95,11,0.013578712940216064
GraphSAGE,106,0.95,12,-0.011273086071014404
GraphSAGE,106,0.95,13,-0.011065065860748291
GraphSAGE,106,0.95,14,0.00978630781173706
GraphSAGE,106,0.95,15,0.0025110840797424316
GraphSAGE,106,0.95,16,0.018110036849975586
GraphSAGE,106,0.95,17,0.014889061450958252
GraphSAGE,106,0.95,18,-0.005533993244171143
GraphSAGE,106,0.95,19,-0.003969967365264893
GraphSAGE,106,1.05,0,0.003929436206817627
GraphSAGE,106,1.05,1,-0.017634093761444092
GraphSAGE,106,1.05,2,0.009690582752227783
GraphSAGE,106,1.05,3,-0.013498365879058838
GraphSAGE,106,1.05,4,-0.010840892791748047
GraphSAGE,106,1.05,5,0.0025641322135925293
GraphSAGE,106,1.05,6,-0.015208959579467773
GraphSAGE,106,1.05,7,0.00458979606628418
GraphSAGE,106,1.05,8,-0.0052054524421691895
GraphSAGE,106,1.05,9,-0.0040076375007629395
GraphSAGE,106,1.05,10,0.0024692416191101074
GraphSAGE,106,1.05,11,0.002180755138397217
GraphSAGE,106,1.05,12,0.002958059310913086
GraphSAGE,106,1.05,13,-0.00018864870071411133
GraphSAGE,106,1.05,14,-0.013604938983917236
GraphSAGE,106,1.05,15,-0.021269559860229492
GraphSAGE,106,1.05,16,-0.0166739821434021
GraphSAGE,106,1.05,17,0.006237030029296875
GraphSAGE,106,1.05,18,0.007357299327850342
GraphSAGE,106,1.05,19,-0.021769464015960693
GraphSAGE,118,0.95,0,0.007170259952545166
GraphSAGE,118,0.95,1,0.009762585163116455
GraphSAGE,118,0.95,2,0.008333265781402588
GraphSAGE,118,0.95,3,0.00015538930892944336
GraphSAGE,118,0.95,4,-0.026878774166107178
GraphSAGE,118,0.95,5,-0.003247559070587158
GraphSAGE,118,0.95,6,-0.008789241313934326
GraphSAGE,118,0.95,7,0.005543410778045654
GraphSAGE,118,0.95,8,0.014406263828277588
GraphSAGE,118,0.95,9,-0.017938613891601562
GraphSAGE,118,0.95,10,-0.011131882667541504
GraphSAGE,118,0.95,11,-0.011647224426269531
GraphSAGE,118,0.95,12,0.011042118072509766
GraphSAGE,118,0.95,13,-0.02604621648788452
GraphSAGE,118,0.95,14,0.01948028802871704
GraphSAGE,118,0.95,15,0.011103332042694092
GraphSAGE,118,0.95,16,-0.017146170139312744
GraphSAGE,118,0.95,17,-0.02069234848022461
GraphSAGE,118,0.95,18,0.006260991096496582
GraphSAGE,118,0.95,19,0.014013946056365967
GraphSAGE,118,1.05,0,-0.011409997940063477
GraphSAGE,118,1.05,1,0.004635214805603027
GraphSAGE,118,1.05,2,-0.009796202182769775
GraphSAGE,118,1.05,3,0.0068299174308776855
GraphSAGE,118,1.05,4,-0.0005815625190734863
GraphSAGE,118,1.05,5,0.0015708208084106445
GraphSAGE,118,1.05,6,0.01623302698135376
GraphSAGE,118,1.05,7,0.009763240814208984
GraphSAGE,118,1.05,8,-0.0037068724632263184
GraphSAGE,118,1.05,9,0.00992429256439209
GraphSAGE,118,1.05,10,0.00972670316696167
GraphSAGE,118,1.05,11,-0.01622551679611206
GraphSAGE,118,1.05,12,-0.0009688735008239746
GraphSAGE,118,1.05,13,-0.011182606220245361
GraphSAGE,118,1.05,14,-0.011910498142242432
GraphSAGE,118,1.05,15,0.010540664196014404
GraphSAGE,118,1.05,16,0.002540290355682373
GraphSAGE,118,1.05,17,0.006514132022857666
GraphSAGE,118,1.05,18,-0.006436824798583984
GraphSAGE,118,1.05,19,0.013810575008392334
GraphSAGE,120,0.95,0,-0.023943334817886353
GraphSAGE,120,0.95,1,-0.0026090145111083984
GraphSAGE,120,0.95,2,-0.015848666429519653
GraphSAGE,120,0.95,3,0.005570203065872192
GraphSAGE,120,0.95,4,-0.013635843992233276
GraphSAGE,120,0.95,5,0.011836260557174683
GraphSAGE,120,0.95,6,0.004242658615112305
GraphSAGE,120,0.95,7,0.018253087997436523
GraphSAGE,120,0.95,8,0.002968817949295044
GraphSAGE,120,0.95,9,0.012044340372085571
GraphSAGE,120,0.95,10,0.022622227668762207
GraphSAGE,120,0.95,11,-0.018168896436691284
GraphSAGE,120,0.95,12,0.01201629638671875
GraphSAGE,120,0.95,13,-0.024314075708389282
GraphSAGE,120,0.95,14,-0.028369992971420288
GraphSAGE,120,0.95,15,-0.02736690640449524
GraphSAGE,120,0.95,16,0.015631824731826782
GraphSAGE,120,0.95,17,0.0024117231369018555
GraphSAGE,120,0.95,18,-0.0082797110080719
GraphSAGE,120,0.95,19,0.035532146692276
GraphSAGE,120,1.05,0,0.028684765100479126
GraphSAGE,120,1.05,1,0.017680317163467407
GraphSAGE,120,1.05,2,0.00590631365776062
GraphSAGE,120,1.05,3,0.0327296257019043
GraphSAGE,120,1.05,4,-0.011812776327133179
GraphSAGE,120,1.05,5,-0.02204832434654236
GraphSAGE,120,1.05,6,0.022951245307922363
GraphSAGE,120,1.05,7,-0.007827013731002808
GraphSAGE,120,1.05,8,0.0058525800704956055
GraphSAGE,120,1.05,9,-0.0006959736347198486
GraphSAGE,120,1.05,10,0.01237514615058899
GraphSAGE,120,1.05,11,0.02110004425048828
GraphSAGE,120,1.05,12,0.014094263315200806
GraphSAGE,120,1.05,13,-0.016049891710281372
GraphSAGE,120,1.05,14,0.010211855173110962
GraphSAGE,120,1.05,15,-0.003429412841796875
GraphSAGE,120,1.05,16,0.009411543607711792
GraphSAGE,120,1.05,17,0.019345641136169434
GraphSAGE,120,1.05,18,-0.016397863626480103
GraphSAGE,120,1.05,19,-0.00654110312461853
GraphSAGE,124,0.95,0,0.00891578197479248
GraphSAGE,124,0.95,1,0.008704006671905518
GraphSAGE,124,0.95,2,0.0008810162544250488
GraphSAGE,124,0.95,3,0.0025432705879211426
GraphSAGE,124,0.95,4,0.008671820163726807
GraphSAGE,124,0.95,5,0.003161787986755371
GraphSAGE,124,0.95,6,-0.018820643424987793
GraphSAGE,124,0.95,7,0.01054006814956665
GraphSAGE,124,0.95,8,0.01219785213470459
GraphSAGE,124,0.95,9,-0.01894533634185791
GraphSAGE,124,0.95,10,0.013742148876190186
GraphSAGE,124,0.95,11,0.008622527122497559
GraphSAGE,124,0.95,12,-0.026566803455352783
GraphSAGE,124,0.95,13,-0.017683088779449463
GraphSAGE,124,0.95,14,0.0008706450462341309
GraphSAGE,124,0.95,15,-0.020643532276153564
GraphSAGE,124,0.95,16,-0.018977224826812744
GraphSAGE,124,0.95,17,-0.008559346199035645
GraphSAGE,124,0.95,18,-0.005203068256378174
GraphSAGE,124,0.95,19,-0.004858851432800293
GraphSAGE,124,1.05,0,-0.0026777982711791992
GraphSAGE,124,1.05,1,-0.006997883319854736
GraphSAGE,124,1.05,2,0.008148252964019775
GraphSAGE,124,1.05,3,0.020523428916931152
GraphSAGE,124,1.05,4,0.004697978496551514
GraphSAGE,124,1.05,5,0.005584418773651123
GraphSAGE,124,1.05,6,0.009913742542266846
GraphSAGE,124,1.05,7,-0.013717949390411377
GraphSAGE,124,1.05,8,-0.004206538200378418
GraphSAGE,124,1.05,9,0.024121582508087158
GraphSAGE,124,1.05,10,0.018923521041870117
GraphSAGE,124,1.05,11,-0.0008888840675354004
GraphSAGE,124,1.05,12,-0.014668107032775879
GraphSAGE,124,1.05,13,0.007838606834411621
GraphSAGE,124,1.05,14,0.0027170777320861816
GraphSAGE,124,1.05,15,-0.012400507926940918
GraphSAGE,124,1.05,16,0.009083807468414307
GraphSAGE,124,1.05,17,-0.0009894967079162598
GraphSAGE,124,1.05,18,0.0007412433624267578
GraphSAGE,124,1.05,19,-0.009320318698883057
GraphSAGE,132,0.95,0,-0.013746574521064758
GraphSAGE,132,0.95,1,-0.011834189295768738
GraphSAGE,132,0.95,2,-0.009349942207336426
GraphSAGE,132,0.95,3,0.009179875254631042
GraphSAGE,132,0.95,4,-0.007126286625862122
GraphSAGE,132,0.95,5,0.01234138011932373
GraphSAGE,132,0.95,6,0.0020714551210403442
GraphSAGE,132,0.95,7,-0.0015109330415725708
GraphSAGE,132,0.95,8,-0.0220157653093338
GraphSAGE,132,0.95,9,-0.015085101127624512
GraphSAGE,132,0.95,10,0.0011532902717590332
GraphSAGE,132,0.95,11,-0.009013906121253967
GraphSAGE,132,0.95,12,-0.011037752032279968
GraphSAGE,132,0.95,13,0.00814145803451538
GraphSAGE,132,0.95,14,0.0040567368268966675
GraphSAGE,132,0.95,15,-0.008379504084587097
GraphSAGE,132,0.95,16,0.012175843119621277
GraphSAGE,132,0.95,17,-0.0144730806350708
GraphSAGE,132,0.95,18,-0.0027545541524887085
GraphSAGE,132,0.95,19,-0.017967522144317627
GraphSAGE,132,1.05,0,-0.003266170620918274
GraphSAGE,132,1.05,1,-0.01020185649394989
GraphSAGE,132,1.05,2,-0.017009451985359192
GraphSAGE,132,1.05,3,0.006111130118370056
GraphSAGE,132,1.05,4,0.0027402639389038086
GraphSAGE,132,1.05,5,0.020514726638793945
GraphSAGE,132,1.05,6,-0.022012948989868164
GraphSAGE,132,1.05,7,0.0067822933197021484
GraphSAGE,132,1.05,8,-0.017780080437660217
GraphSAGE,132,1.05,9,0.004663050174713135
GraphSAGE,132,1.05,10,-0.0028767138719558716
GraphSAGE,132,1.05,11,0.010906830430030823
GraphSAGE,132,1.05,12,-0.003974989056587219
GraphSAGE,132,1.05,13,-0.003957077860832214
GraphSAGE,132,1.05,14,0.0003868192434310913
GraphSAGE,132,1.05,15,0.004256650805473328
GraphSAGE,132,1.05,16,0.0030640512704849243
GraphSAGE,132,1.05,17,0.015768766403198242
GraphSAGE,132,1.05,18,-0.004435822367668152
GraphSAGE,132,1.05,19,-0.021586298942565918
GraphSAGE,144,0.95,0,0.0024765729904174805
GraphSAGE,144,0.95,1,-0.0037325024604797363
GraphSAGE,144,0.95,2,-0.0004458427429199219
GraphSAGE,144,0.95,3,-0.0015249252319335938
GraphSAGE,144,0.95,4,-0.001240074634552002
GraphSAGE,144,0.95,5,0.0021278858184814453
GraphSAGE,144,0.95,6,0.002033412456512451
GraphSAGE,144,0.95,7,-0.004778861999511719
GraphSAGE,144,0.95,8,-0.0026689767837524414
GraphSAGE,144,0.95,9,-0.001230001449584961
GraphSAGE,144,0.95,10,-0.0008667707443237305
GraphSAGE,144,0.95,11,-0.0019341111183166504
GraphSAGE,144,0.95,12,0.00034606456756591797
GraphSAGE,144,0.95,13,0.0013087987899780273
GraphSAGE,144,0.95,14,0.002028346061706543
GraphSAGE,144,0.95,15,0.0002288818359375
GraphSAGE,144,0.95,16,0.002433955669403076
GraphSAGE,144,0.95,17,-0.0038505196571350098
GraphSAGE,144,0.95,18,-0.0013599395751953125
GraphSAGE,144,0.95,19,-0.002917051315307617
GraphSAGE,144,1.05,0,0.0020003318786621094
GraphSAGE,144,1.05,1,-0.0029107332229614258
GraphSAGE,144,1.05,2,0.0018090009689331055
GraphSAGE,144,1.05,3,-2.199411392211914e-05
GraphSAGE,144,1.05,4,0.0009660720825195312
GraphSAGE,144,1.05,5,0.0022749900817871094
GraphSAGE,144,1.05,6,0.0002791285514831543
GraphSAGE,144,1.05,7,-0.00035202503204345703
GraphSAGE,144,1.05,8,0.0034232139587402344
GraphSAGE,144,1.05,9,0.0013053417205810547
GraphSAGE,144,1.05,10,-0.0013533830642700195
GraphSAGE,144,1.05,11,0.00010192394256591797
GraphSAGE,144,1.05,12,-0.003946781158447266
GraphSAGE,144,1.05,13,0.002356410026550293
GraphSAGE,144,1.05,14,-0.004831433296203613
GraphSAGE,144,1.05,15,-0.004239380359649658
GraphSAGE,144,1.05,16,0.0022438764572143555
GraphSAGE,144,1.05,17,-1.5795230865478516e-05
GraphSAGE,144,1.05,18,-0.003681182861328125
GraphSAGE,144,1.05,19,-0.0007203221321105957
GraphSAGE,151,0.95,0,0.009906113147735596
GraphSAGE,151,0.95,1,0.005207657814025879
GraphSAGE,151,0.95,2,-0.0014804601669311523
GraphSAGE,151,0.95,3,-0.0036829710006713867
GraphSAGE,151,0.95,4,0.0009762048721313477
GraphSAGE,151,0.95,5,0.009651541709899902
GraphSAGE,151,0.95,6,-0.02406257390975952
GraphSAGE,151,0.95,7,0.012176036834716797
GraphSAGE,151,0.95,8,-0.0017754435539245605
GraphSAGE,151,0.95,9,-0.002761363983154297
GraphSAGE,151,0.95,10,-0.012623786926269531
GraphSAGE,151,0.95,11,-0.012525320053100586
GraphSAGE,151,0.95,12,0.006814002990722656
GraphSAGE,151,0.95,13,0.01119840145111084
GraphSAGE,151,0.95,14,-0.020366311073303223
GraphSAGE,151,0.95,15,0.000307619571685791
GraphSAGE,151,0.95,16,-0.02109891176223755
GraphSAGE,151,0.95,17,0.02066779136657715
