architecture,patient,factor,repeat,probability_IC_change
GCN,120,0.95,0,-0.013017058372497559
GCN,120,0.95,1,0.017002344131469727
GCN,120,0.95,2,-0.0069280266761779785
GCN,120,0.95,3,0.010852038860321045
GCN,120,0.95,4,-0.0060339272022247314
GCN,120,0.95,5,-0.012823015451431274
GCN,120,0.95,6,0.016579747200012207
GCN,120,0.95,7,0.018017619848251343
GCN,120,0.95,8,0.0029706954956054688
GCN,120,0.95,9,-0.021098405122756958
GCN,120,0.95,10,0.0012377500534057617
GCN,120,0.95,11,-0.0036876797676086426
GCN,120,0.95,12,-0.007960081100463867
GCN,120,0.95,13,-0.016436278820037842
GCN,120,0.95,14,-0.010830312967300415
GCN,120,0.95,15,-0.02272668480873108
GCN,120,0.95,16,-0.0022769570350646973
GCN,120,0.95,17,0.028858304023742676
GCN,120,0.95,18,0.0028433501720428467
GCN,120,0.95,19,-0.020446449518203735
GCN,120,1.05,0,-0.001001894474029541
GCN,120,1.05,1,-0.021275460720062256
GCN,120,1.05,2,-0.011334717273712158
GCN,120,1.05,3,0.005639970302581787
GCN,120,1.05,4,0.008816659450531006
GCN,120,1.05,5,-0.008193492889404297
GCN,120,1.05,6,-0.005488038063049316
GCN,120,1.05,7,0.010965943336486816
GCN,120,1.05,8,0.009737938642501831
GCN,120,1.05,9,0.007568478584289551
GCN,120,1.05,10,0.001354813575744629
GCN,120,1.05,11,-0.023904740810394287
GCN,120,1.05,12,0.0005990266799926758
GCN,120,1.05,13,0.013051241636276245
GCN,120,1.05,14,-0.009004741907119751
GCN,120,1.05,15,-0.006298691034317017
GCN,120,1.05,16,0.011458396911621094
GCN,120,1.05,17,0.01695394515991211
GCN,120,1.05,18,0.001890629529953003
GCN,120,1.05,19,0.003953307867050171
GCN,124,0.95,0,-0.019528687000274658
GCN,124,0.95,1,-0.01242685317993164
GCN,124,0.95,2,0.0025849342346191406
GCN,124,0.95,3,-0.023389816284179688
GCN,124,0.95,4,-0.01852172613143921
GCN,124,0.95,5,-0.00750422477722168
GCN,124,0.95,6,0.007630884647369385
GCN,124,0.95,7,-0.026253938674926758
GCN,124,0.95,8,0.006400942802429199
GCN,124,0.95,9,-0.016592323780059814
GCN,124,0.95,10,0.0044078826904296875
GCN,124,0.95,11,0.017872929573059082
GCN,124,0.95,12,-0.026351332664489746
GCN,124,0.95,13,0.014869511127471924
GCN,124,0.95,14,0.010204732418060303
GCN,124,0.95,15,-0.007252514362335205
GCN,124,0.95,16,-0.028443515300750732
