architecture,patient,seed,fraction,method,repeat,predicted_class_probability_drop
GCN,106,23,0.2,random,19,0.05046975612640381
GCN,106,37,0.05,gnnexplainer,-1,0.04825878143310547
GCN,106,37,0.05,random,0,0.019620537757873535
GCN,106,37,0.05,random,1,0.009617269039154053
GCN,106,37,0.05,random,2,0.023335397243499756
GCN,106,37,0.05,random,3,0.028740406036376953
GCN,106,37,0.05,random,4,0.012946546077728271
GCN,106,37,0.05,random,5,0.03046882152557373
GCN,106,37,0.05,random,6,0.007809042930603027
GCN,106,37,0.05,random,7,0.019632816314697266
GCN,106,37,0.05,random,8,0.014393448829650879
GCN,106,37,0.05,random,9,0.0011954307556152344
GCN,106,37,0.05,random,10,0.01972174644470215
GCN,106,37,0.05,random,11,0.013198375701904297
GCN,106,37,0.05,random,12,0.013854742050170898
GCN,106,37,0.05,random,13,0.02189081907272339
GCN,106,37,0.05,random,14,0.022870898246765137
GCN,106,37,0.05,random,15,0.006723880767822266
GCN,106,37,0.05,random,16,0.0073479413986206055
GCN,106,37,0.05,random,17,0.00715482234954834
GCN,106,37,0.05,random,18,0.014971435070037842
GCN,106,37,0.05,random,19,0.01742684841156006
GCN,106,37,0.1,gnnexplainer,-1,0.08080196380615234
GCN,106,37,0.1,random,0,0.036265671253204346
GCN,106,37,0.1,random,1,0.02032029628753662
GCN,106,37,0.1,random,2,0.03175389766693115
GCN,106,37,0.1,random,3,0.020704686641693115
GCN,106,37,0.1,random,4,0.04048764705657959
GCN,106,37,0.1,random,5,0.020287692546844482
GCN,106,37,0.1,random,6,0.02776491641998291
GCN,106,37,0.1,random,7,0.0231478214263916
GCN,106,37,0.1,random,8,0.02534472942352295
GCN,106,37,0.1,random,9,0.015700995922088623
GCN,106,37,0.1,random,10,0.02318805456161499
GCN,106,37,0.1,random,11,0.019423604011535645
GCN,106,37,0.1,random,12,0.01733797788619995
GCN,106,37,0.1,random,13,0.030474185943603516
GCN,106,37,0.1,random,14,0.030491769313812256
GCN,106,37,0.1,random,15,0.02257513999938965
GCN,106,37,0.1,random,16,0.028436779975891113
GCN,106,37,0.1,random,17,0.02574920654296875
