architecture,patient,area_factor,method,repeat,probability_IC_change,area_probe_shift_sd,eccentricity_probe_shift_sd,solidity_probe_shift_sd,feature_support_fraction,clinical_validity
GCN,118,1.05,random,2,0.0006790757179260254,-0.016607820987701416,0.008971154689788818,-0.049468398094177246,1.0,False
GCN,118,1.05,random,3,-0.0018472671508789062,-0.013894453644752502,-0.007042884826660156,-0.010869324207305908,1.0,False
GCN,118,1.05,random,4,0.0008946061134338379,0.0041947513818740845,0.0237271785736084,-0.005372822284698486,1.0,False
GCN,118,1.05,random,5,0.00044149160385131836,0.0008316785097122192,-0.019520282745361328,0.00921565294265747,1.0,False
GCN,118,1.05,random,6,0.0026341676712036133,0.016374602913856506,0.024190068244934082,0.01687037944793701,1.0,False
GCN,118,1.05,random,7,0.0016270279884338379,0.010736450552940369,0.00973278284072876,0.0005956888198852539,1.0,False
GCN,118,1.05,random,8,-0.0016654133796691895,-0.006243571639060974,-0.03341710567474365,0.016423702239990234,1.0,False
GCN,118,1.05,random,9,3.2961368560791016e-05,-0.010190263390541077,0.01954472064971924,-0.01883786916732788,1.0,False
GCN,118,1.05,random,10,0.0026609301567077637,0.0020710378885269165,-0.01199185848236084,0.01888728141784668,1.0,False
GCN,118,1.05,random,11,-0.0008381009101867676,0.009462282061576843,-0.027859091758728027,0.039889752864837646,1.0,False
GCN,118,1.05,random,12,0.001711428165435791,0.0055207014083862305,-0.002629578113555908,-0.006529688835144043,1.0,False
GCN,118,1.05,random,13,0.0022549033164978027,0.01106947660446167,-0.0520097017288208,0.05304962396621704,1.0,False
GCN,118,1.05,random,14,0.0003376007080078125,-0.0070155709981918335,-0.001458287239074707,0.006490945816040039,1.0,False
GCN,118,1.05,random,15,0.0005331635475158691,-0.01147453486919403,0.007828116416931152,-0.03226172924041748,1.0,False
GCN,118,1.05,random,16,-7.68899917602539e-06,-0.01297403872013092,-0.013874411582946777,0.024167299270629883,1.0,False
GCN,118,1.05,random,17,-0.0010771751403808594,-0.0012577325105667114,-0.004874050617218018,0.007727503776550293,1.0,False
GCN,118,1.05,random,18,0.0014266371726989746,-0.0004961788654327393,0.010371387004852295,-0.0036062002182006836,1.0,False
GCN,118,1.05,random,19,-0.004264891147613525,-0.025302186608314514,0.005801260471343994,-0.03736388683319092,1.0,False
GCN,120,0.95,gcia_morphology,-1,-0.024662017822265625,-0.15091994404792786,0.004787623882293701,-0.06500953435897827,1.0,False
GCN,120,0.95,random,0,-0.00013843178749084473,0.0020155534148216248,-0.014129698276519775,0.012381419539451599,1.0,False
GCN,120,0.95,random,1,-0.0009223520755767822,-0.0064109936356544495,-0.005681514739990234,-0.02592344582080841,1.0,False
GCN,120,0.95,random,2,0.0025482177734375,0.008489720523357391,0.005747199058532715,-0.00030265748500823975,1.0,False
GCN,120,0.95,random,3,0.0017085671424865723,0.00510416179895401,-0.013888239860534668,0.018778368830680847,1.0,False
GCN,120,0.95,random,4,0.0031404495239257812,0.007208101451396942,0.0015974640846252441,0.014391884207725525,1.0,False
GCN,120,0.95,random,5,0.001113981008529663,0.009568698704242706,0.00465703010559082,0.013796746730804443,1.0,False
GCN,120,0.95,random,6,0.0021022260189056396,0.013008974492549896,-0.010598838329315186,0.03542278707027435,1.0,False
GCN,120,0.95,random,7,-0.0011768341064453125,-0.005564756691455841,0.015466094017028809,0.0038640201091766357,1.0,False
GCN,120,0.95,random,8,0.00033527612686157227,0.004711329936981201,0.015076160430908203,-0.0010097473859786987,1.0,False
GCN,120,0.95,random,9,-0.0006430149078369141,0.005103539675474167,-0.0034638643264770508,0.02260388433933258,1.0,False
GCN,120,0.95,random,10,0.002857804298400879,0.011293824762105942,-0.008036375045776367,-0.012229487299919128,1.0,False
GCN,120,0.95,random,11,-0.0010067522525787354,-0.011694245040416718,-0.0019285082817077637,-0.03828299045562744,1.0,False
GCN,120,0.95,random,12,-0.0022940635681152344,-0.011290773749351501,0.017020463943481445,-0.024458706378936768,1.0,False
GCN,120,0.95,random,13,-0.0007966160774230957,-0.0015164688229560852,-0.016925930976867676,0.0013093799352645874,1.0,False
GCN,120,0.95,random,14,0.0008097589015960693,-0.005834557116031647,-0.021414637565612793,-0.001651853322982788,1.0,False
GCN,120,0.95,random,15,-0.0006205439567565918,-4.958733916282654e-05,0.0023957490921020508,0.013200968503952026,1.0,False
GCN,120,0.95,random,16,-0.00033980607986450195,-0.003810938447713852,-0.0033017396926879883,0.005559667944908142,1.0,False
GCN,120,0.95,random,17,0.0001068115234375,-0.008509393781423569,0.01895838975906372,-0.015490517020225525,1.0,False
GCN,120,0.95,random,18,-0.00015357136726379395,0.008819758892059326,0.018066823482513428,0.027973875403404236,1.0,False
GCN,120,0.95,random,19,-0.00048807263374328613,0.0010722093284130096,0.012117147445678711,0.008296772837638855,1.0,False
GCN,120,1.05,gcia_morphology,-1,0.02642175555229187,0.15348300337791443,-0.008791208267211914,0.06099782884120941,1.0,False
GCN,120,1.05,random,0,-5.805492401123047e-05,-0.0008315518498420715,0.005979001522064209,-0.01391763985157013,1.0,False
GCN,120,1.05,random,1,0.001947849988937378,0.009642139077186584,0.014667093753814697,0.009704843163490295,1.0,False
GCN,120,1.05,random,2,-0.0008060932159423828,-0.0038094669580459595,0.017923474311828613,0.00015544891357421875,1.0,False
GCN,120,1.05,random,3,-0.002026379108428955,0.004665970802307129,0.003416895866394043,0.014830797910690308,1.0,False
GCN,120,1.05,random,4,0.0006057918071746826,0.012231376022100449,-0.003343820571899414,0.010479077696800232,1.0,False
GCN,120,1.05,random,5,0.0006612241268157959,-0.006568491458892822,-0.01221001148223877,-0.01056179404258728,1.0,False
GCN,120,1.05,random,6,-0.00042060017585754395,0.0006141476333141327,0.007880568504333496,0.004935562610626221,1.0,False
GCN,120,1.05,random,7,-0.0006328821182250977,0.004149526357650757,0.007977843284606934,0.004509463906288147,1.0,False
GCN,120,1.05,random,8,-0.0001882612705230713,0.004309564828872681,0.035772740840911865,-0.0003005564212799072,1.0,False
GCN,120,1.05,random,9,5.900859832763672e-06,0.0010750293731689453,-0.014390766620635986,0.012659803032875061,1.0,False
GCN,120,1.05,random,10,-0.0020579099655151367,-0.011493608355522156,0.017782270908355713,-0.019558489322662354,1.0,False
GCN,120,1.05,random,11,-0.0008574128150939941,0.00014612823724746704,-0.019066333770751953,0.01145203411579132,1.0,False
GCN,120,1.05,random,12,-0.001999974250793457,-0.0024809613823890686,0.010446667671203613,0.023811236023902893,1.0,False
GCN,120,1.05,random,13,0.00024312734603881836,0.006094396114349365,0.0037217140197753906,-0.011631906032562256,1.0,False
GCN,120,1.05,random,14,-0.002603590488433838,-0.014118589460849762,0.03071773052215576,-0.027740314602851868,1.0,False
GCN,120,1.05,random,15,0.002367556095123291,0.006153140217065811,-0.018803954124450684,0.026755258440971375,1.0,False
GCN,120,1.05,random,16,-0.0021457672119140625,-0.00233348086476326,0.020150601863861084,-0.013850629329681396,1.0,False
GCN,120,1.05,random,17,-0.0009376108646392822,-0.003123365342617035,0.010986864566802979,-0.008871302008628845,1.0,False
GCN,120,1.05,random,18,0.0017457902431488037,0.003456704318523407,-0.0298689603805542,0.01002204418182373,1.0,False
GCN,120,1.05,random,19,0.001498192548751831,0.006494898349046707,-0.0069658756256103516,0.007431462407112122,1.0,False
GCN,124,0.95,gcia_morphology,-1,-0.02053236961364746,-0.15369607508182526,-0.013380378484725952,-0.04034265875816345,1.0,False
GCN,124,0.95,random,0,-0.0013323426246643066,-0.0029727816581726074,-0.0016293525695800781,0.014001607894897461,1.0,False
GCN,124,0.95,random,1,-0.0009386539459228516,-0.0027053654193878174,0.012736350297927856,0.00326499342918396,1.0,False
GCN,124,0.95,random,2,-0.00021225214004516602,0.003993093967437744,-0.016138821840286255,0.01943039894104004,1.0,False
GCN,124,0.95,random,3,-0.001369476318359375,-0.003824949264526367,-0.003990739583969116,-0.00990787148475647,1.0,False
