stage,analysis,record_type,dataset,model,seed,concept,layer,probe_metric,probe_value,tcav_value,target_effect,control_effect,gcia_excess,ci_low,ci_high,intervention_valid,interpretation,budget,concept_shift,control_budget,control_ci_high,control_ci_low,control_concept_shift,encoded,invalid_reason,metric,n_graphs,n_groups,patient_id,permutation_p,sample_id,target_ci_high,target_ci_low,valid_fraction,value
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.33990034461021423,0.17655251920223236,0.16334782540798187,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_3,,test_3_010,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.33990034461021423,0.21751737594604492,0.12238296866416931,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_3,,test_3_011,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.35419899225234985,0.614043116569519,-0.2598441243171692,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_3,,test_3_100,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.35419899225234985,0.6094103455543518,-0.25521135330200195,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_3,,test_3_101,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3399003744125366,0.5073136687278748,-0.16741329431533813,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_3,,test_3_110,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3399003744125366,0.5073975920677185,-0.16749721765518188,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_3,,test_3_111,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.40491414070129395,0.18984664976596832,0.21506749093532562,,,True,,6.928203105926514,2.0,6.928203105926514,,,1.9868215517249155e-08,,,,,,test_4,,test_4_000,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.40491414070129395,0.184882253408432,0.22003188729286194,,,True,,6.928203105926514,2.0,6.928203105926514,,,1.9868215517249155e-08,,,,,,test_4,,test_4_001,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.4234543442726135,0.2647918164730072,0.15866252779960632,,,True,,6.928203105926514,2.0,6.928203105926514,,,1.9868215517249155e-08,,,,,,test_4,,test_4_010,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.4234543442726135,0.2504109740257263,0.1730433702468872,,,True,,6.928203105926514,2.0,6.928203105926514,,,1.9868215517249155e-08,,,,,,test_4,,test_4_011,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.40491414070129395,0.6707375645637512,-0.2658234238624573,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_4,,test_4_100,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.40491414070129395,0.6413137316703796,-0.2363995909690857,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_4,,test_4_101,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.4234543442726135,0.5001123547554016,-0.07665801048278809,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_4,,test_4_110,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.4234543442726135,0.5466216206550598,-0.12316727638244629,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_4,,test_4_111,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3872605562210083,0.1873599886894226,0.1999005675315857,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_5,,test_5_000,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3872605562210083,0.19321173429489136,0.19404882192611694,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_5,,test_5_001,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3411838412284851,0.1763155162334442,0.1648683249950409,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_5,,test_5_010,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3411838412284851,0.1783897578716278,0.1627940833568573,,,True,,6.928203105926514,2.0,6.928203105926514,,,1.9868215517249155e-08,,,,,,test_5,,test_5_011,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3872605562210083,0.6600009799003601,-0.2727404236793518,,,True,,6.928203105926514,2.0,6.928203105926514,,,1.9868215517249155e-08,,,,,,test_5,,test_5_100,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3872605562210083,0.6150546669960022,-0.2277941107749939,,,True,,6.928203105926514,2.0,6.928203105926514,,,1.9868215517249155e-08,,,,,,test_5,,test_5_101,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3411838412284851,0.5539150834083557,-0.2127312421798706,,,True,,6.928203105926514,2.0,6.928203105926514,,,2.9802322387695312e-08,,,,,,test_5,,test_5_110,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3411838412284851,0.5747200846672058,-0.2335362434387207,,,True,,6.928203105926514,2.0,6.928203105926514,,,2.9802322387695312e-08,,,,,,test_5,,test_5_111,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.44948869943618774,0.23405073583126068,0.21543796360492706,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_6,,test_6_000,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.44948869943618774,0.268197625875473,0.18129107356071472,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_6,,test_6_001,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.35437023639678955,0.2151525765657425,0.13921765983104706,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_6,,test_6_010,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.35437023639678955,0.19935552775859833,0.15501470863819122,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_6,,test_6_011,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.44948869943618774,0.6233232617378235,-0.17383456230163574,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_6,,test_6_100,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.44948869943618774,0.6593019962310791,-0.20981329679489136,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_6,,test_6_101,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.35437023639678955,0.36496567726135254,-0.010595440864562988,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_6,,test_6_110,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.35437023639678955,0.49965882301330566,-0.1452885866165161,,,True,,6.928203105926514,2.0,6.928203105926514,,,0.0,,,,,,test_6,,test_6_111,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3849656879901886,0.21040259301662445,0.17456309497356415,,,True,,6.928203105926514,2.0,6.928203105926514,,,9.934107758624577e-09,,,,,,test_7,,test_7_000,,,,
synthetic,gcia,observation,synthetic,DeepSets,11,C_used,,,,,0.3849656879901886,0.16689859330654144,0.21806709468364716,,,True,,6.928203105926514,2.0,6.928203105926514,,,1.9868215517249155e-08,,,,,,test_7,,test_7_001,,,,
