patient,split,seed,fraction,count,method,control,signed_change,absolute_change
TCGA-A1-A0SK,development,23,0.1,7,random,18,0.018436551094055176,0.018436551094055176
TCGA-A1-A0SK,development,23,0.1,7,random,19,-0.011114716529846191,0.011114716529846191
TCGA-A1-A0SK,development,23,0.2,14,gnnexplainer,-1,0.0006327033042907715,0.0006327033042907715
TCGA-A1-A0SK,development,23,0.2,14,random,0,0.0067903995513916016,0.0067903995513916016
TCGA-A1-A0SK,development,23,0.2,14,random,1,-0.0025930404663085938,0.0025930404663085938
TCGA-A1-A0SK,development,23,0.2,14,random,2,-0.005635678768157959,0.005635678768157959
TCGA-A1-A0SK,development,23,0.2,14,random,3,-0.007515609264373779,0.007515609264373779
TCGA-A1-A0SK,development,23,0.2,14,random,4,-0.0265466570854187,0.0265466570854187
TCGA-A1-A0SK,development,23,0.2,14,random,5,-0.03254568576812744,0.03254568576812744
TCGA-A1-A0SK,development,23,0.2,14,random,6,-0.0045545101165771484,0.0045545101165771484
TCGA-A1-A0SK,development,23,0.2,14,random,7,-0.027532339096069336,0.027532339096069336
TCGA-A1-A0SK,development,23,0.2,14,random,8,0.008934855461120605,0.008934855461120605
TCGA-A1-A0SK,development,23,0.2,14,random,9,-0.042955100536346436,0.042955100536346436
TCGA-A1-A0SK,development,23,0.2,14,random,10,-0.016138792037963867,0.016138792037963867
TCGA-A1-A0SK,development,23,0.2,14,random,11,-0.05124247074127197,0.05124247074127197
TCGA-A1-A0SK,development,23,0.2,14,random,12,-0.01852273941040039,0.01852273941040039
TCGA-A1-A0SK,development,23,0.2,14,random,13,-0.014007329940795898,0.014007329940795898
TCGA-A1-A0SK,development,23,0.2,14,random,14,-0.026902079582214355,0.026902079582214355
TCGA-A1-A0SK,development,23,0.2,14,random,15,-0.0563204288482666,0.0563204288482666
TCGA-A1-A0SK,development,23,0.2,14,random,16,-0.0033425092697143555,0.0033425092697143555
TCGA-A1-A0SK,development,23,0.2,14,random,17,-0.001637279987335205,0.001637279987335205
TCGA-A1-A0SK,development,23,0.2,14,random,18,0.04352360963821411,0.04352360963821411
TCGA-A1-A0SK,development,23,0.2,14,random,19,-0.025678157806396484,0.025678157806396484
TCGA-A1-A0SK,development,37,0.05,4,gnnexplainer,-1,-0.004154324531555176,0.004154324531555176
TCGA-A1-A0SK,development,37,0.05,4,random,0,0.014383852481842041,0.014383852481842041
TCGA-A1-A0SK,development,37,0.05,4,random,1,-0.005955755710601807,0.005955755710601807
TCGA-A1-A0SK,development,37,0.05,4,random,2,0.01176673173904419,0.01176673173904419
TCGA-A1-A0SK,development,37,0.05,4,random,3,-0.024705111980438232,0.024705111980438232
TCGA-A1-A0SK,development,37,0.05,4,random,4,-0.002382814884185791,0.002382814884185791
TCGA-A1-A0SK,development,37,0.05,4,random,5,0.006083011627197266,0.006083011627197266
