patient,concept,polarity,method,repeat,probe_target_change_sd,max_collateral_sd,layer2_target_change_sd,probability_IC_change,feature_support_fraction,numerical_gate,clinical_validity
178,red_minus_blue_proxy,-1,random,10,-0.015709375962615013,0.2562771141529083,-0.01620316505432129,-0.00020241737365722656,0.9968804253472222,False,False
178,red_minus_blue_proxy,-1,random,11,0.07141935080289841,0.1809140145778656,0.027752459049224854,-0.00012004375457763672,0.9971245659722222,False,False
178,red_minus_blue_proxy,-1,random,12,0.04925995320081711,0.024625107645988464,0.0050667524337768555,0.0004069209098815918,0.9971516927083334,False,False
178,red_minus_blue_proxy,-1,random,13,0.13148127496242523,0.11053021252155304,0.055634379386901855,0.0003110170364379883,0.9974500868055556,False,False
178,red_minus_blue_proxy,-1,random,14,-0.22197464108467102,0.10878622531890869,0.09767334163188934,0.00012087821960449219,0.9982638888888888,False,False
178,red_minus_blue_proxy,-1,random,15,-0.0007248148322105408,0.19138498604297638,0.007099360227584839,5.245208740234375e-05,0.9975043402777778,False,False
178,red_minus_blue_proxy,-1,random,16,0.0158737413585186,0.14429421722888947,-0.017044231295585632,0.00014638900756835938,0.9969075520833334,False,False
178,red_minus_blue_proxy,-1,random,17,-0.022732293233275414,0.08268247544765472,-0.047844693064689636,0.0005362033843994141,0.9978569878472222,False,False
178,red_minus_blue_proxy,-1,random,18,-0.047024257481098175,0.09001050889492035,-0.03387594223022461,-0.00032651424407958984,0.9975857204861112,False,False
178,red_minus_blue_proxy,-1,random,19,-0.05210366100072861,0.07012815773487091,-0.012351378798484802,0.00015681982040405273,0.9972059461805556,False,False
178,red_minus_blue_proxy,1,gcia_proxy,-1,2.0791642665863037,2.2351741790771484e-07,0.04413694143295288,0.0006682276725769043,0.9965549045138888,True,False
178,red_minus_blue_proxy,1,random,0,0.051271095871925354,0.09775753319263458,0.05472242832183838,0.0003218650817871094,0.9978298611111112,False,False
178,red_minus_blue_proxy,1,random,1,0.014611858874559402,0.03827962279319763,-0.08110186457633972,-0.0001590251922607422,0.9975857204861112,False,False
178,red_minus_blue_proxy,1,random,2,-0.036498062312603,0.0432092547416687,-0.03265421837568283,2.7298927307128906e-05,0.9974772135416666,False,False
178,red_minus_blue_proxy,1,random,3,0.09496265649795532,0.1548510193824768,0.07349985837936401,0.0002295970916748047,0.9967176649305556,False,False
178,red_minus_blue_proxy,1,random,4,-0.019041238352656364,0.13030537962913513,-0.006708890199661255,3.4689903259277344e-05,0.9974229600694444,False,False
178,red_minus_blue_proxy,1,random,5,-0.046599920839071274,0.11438120901584625,-0.025926217436790466,-0.00010710954666137695,0.9970703125,False,False
178,red_minus_blue_proxy,1,random,6,0.13985306024551392,0.13284824788570404,0.04032008349895477,0.0007458925247192383,0.9961751302083334,False,False
178,red_minus_blue_proxy,1,random,7,-0.05798996239900589,0.09754025936126709,0.04132089018821716,-0.00010591745376586914,0.9983452690972222,False,False
178,red_minus_blue_proxy,1,random,8,-0.010272646322846413,0.08048062771558762,0.11957558989524841,0.0006162524223327637,0.9981011284722222,False,False
178,red_minus_blue_proxy,1,random,9,0.0232984758913517,0.13818489015102386,0.049422651529312134,0.00023937225341796875,0.9978298611111112,False,False
178,red_minus_blue_proxy,1,random,10,0.004233304411172867,0.15231195092201233,0.12938877940177917,0.0006264448165893555,0.9972873263888888,False,False
178,red_minus_blue_proxy,1,random,11,0.04626066982746124,0.17725986242294312,-0.06194102764129639,-4.112720489501953e-06,0.9983452690972222,False,False
178,red_minus_blue_proxy,1,random,12,-0.05888776481151581,0.056706398725509644,-0.05608765780925751,-0.0004734992980957031,0.9972330729166666,False,False
178,red_minus_blue_proxy,1,random,13,0.039939992129802704,0.09268414974212646,0.02161163091659546,4.1484832763671875e-05,0.9978298611111112,False,False
178,red_minus_blue_proxy,1,random,14,0.05085950344800949,0.07877838611602783,-0.017871588468551636,0.00012892484664916992,0.9977213541666666,False,False
178,red_minus_blue_proxy,1,random,15,-0.09264163672924042,0.09283354878425598,0.07098579406738281,-2.9146671295166016e-05,0.9979383680555556,False,False
178,red_minus_blue_proxy,1,random,16,0.10146157443523407,0.27486345171928406,-0.0004356950521469116,0.00029540061950683594,0.9966362847222222,False,False
178,red_minus_blue_proxy,1,random,17,0.052437447011470795,0.1539027988910675,-0.023157984018325806,-0.0003046989440917969,0.9966905381944444,False,False
178,red_minus_blue_proxy,1,random,18,0.12503302097320557,0.08843328058719635,0.06629481911659241,0.0002097487449645996,0.9982367621527778,False,False
178,red_minus_blue_proxy,1,random,19,-0.05790526792407036,0.06965281069278717,0.04317392408847809,2.8014183044433594e-06,0.9975314670138888,False,False
178,intensity_sd_proxy,-1,gcia_proxy,-1,-1.8211908340454102,5.960464477539063e-08,-0.11289036273956299,0.0009178519248962402,0.9975043402777778,True,False
178,intensity_sd_proxy,-1,random,0,0.027573272585868835,0.08773358166217804,-0.08605790138244629,0.00023806095123291016,0.997314453125,False,False
178,intensity_sd_proxy,-1,random,1,0.06080155074596405,0.028362616896629333,0.01392298936843872,0.00019979476928710938,0.996826171875,False,False
178,intensity_sd_proxy,-1,random,2,-0.08063925057649612,0.06173296272754669,0.04770088195800781,-0.0005886554718017578,0.9966905381944444,False,False
178,intensity_sd_proxy,-1,random,3,0.031047075986862183,0.11310787498950958,-0.029970884323120117,0.0003694295883178711,0.9984266493055556,False,False
178,intensity_sd_proxy,-1,random,4,0.07853749394416809,0.14276279509067535,0.048967182636260986,-0.0010145902633666992,0.9976942274305556,False,False
178,intensity_sd_proxy,-1,random,5,0.06673291325569153,0.07714244723320007,-0.063942551612854,0.00011229515075683594,0.9982638888888888,False,False
178,intensity_sd_proxy,-1,random,6,0.03030574321746826,0.04518106207251549,0.013333737850189209,-0.00016862154006958008,0.9966091579861112,False,False
178,intensity_sd_proxy,-1,random,7,-0.16102930903434753,0.11433161050081253,-0.01740419864654541,0.00027930736541748047,0.9972330729166666,False,False
178,intensity_sd_proxy,-1,random,8,-0.012955263257026672,0.19003808498382568,-0.01328742504119873,3.123283386230469e-05,0.9984809027777778,False,False
178,intensity_sd_proxy,-1,random,9,-0.16515758633613586,0.10038094222545624,-0.015274882316589355,0.00017637014389038086,0.998291015625,False,False
178,intensity_sd_proxy,-1,random,10,0.04339390993118286,0.11032436788082123,-0.016435980796813965,-2.962350845336914e-05,0.9979383680555556,False,False
178,intensity_sd_proxy,-1,random,11,-0.054723918437957764,0.053538959473371506,0.13250893354415894,-0.0006587505340576172,0.998291015625,False,False
178,intensity_sd_proxy,-1,random,12,-0.004020869731903076,0.01675589382648468,-0.09066188335418701,0.0005702376365661621,0.9976942274305556,False,False
178,intensity_sd_proxy,-1,random,13,0.053883716464042664,0.04396691918373108,0.014149963855743408,-0.0005047321319580078,0.9969346788194444,False,False
178,intensity_sd_proxy,-1,random,14,0.07157626748085022,0.12597070634365082,0.02350515127182007,-0.0002760887145996094,0.9980197482638888,False,False
178,intensity_sd_proxy,-1,random,15,-0.049767568707466125,0.08699502050876617,0.00620037317276001,-0.00011396408081054688,0.9978569878472222,False,False
178,intensity_sd_proxy,-1,random,16,0.011418581008911133,0.03228026628494263,0.02626281976699829,-0.0005589723587036133,0.9971788194444444,False,False
178,intensity_sd_proxy,-1,random,17,-0.02954663336277008,0.040834080427885056,0.014261245727539062,-0.0006549358367919922,0.998046875,False,False
178,intensity_sd_proxy,-1,random,18,-0.12054528295993805,0.05929456651210785,0.02436918020248413,-0.0003285408020019531,0.9970703125,False,False
178,intensity_sd_proxy,-1,random,19,0.07113790512084961,0.23035244643688202,0.0698925256729126,-0.0002834796905517578,0.9979926215277778,False,False
178,intensity_sd_proxy,1,gcia_proxy,-1,1.8211913108825684,6.705522537231445e-08,0.11472451686859131,-0.0015859603881835938,0.9981553819444444,True,False
178,intensity_sd_proxy,1,random,0,0.06830698251724243,0.07003802061080933,0.013820886611938477,-0.00016605854034423828,0.997314453125,False,False
178,intensity_sd_proxy,1,random,1,0.04360383749008179,0.10511691868305206,0.00959312915802002,-7.534027099609375e-05,0.9964192708333334,False,False
178,intensity_sd_proxy,1,random,2,0.11426812410354614,0.24321551620960236,0.040224432945251465,-0.000311434268951416,0.9958224826388888,False,False
178,intensity_sd_proxy,1,random,3,0.010807231068611145,0.039344340562820435,-0.0023818612098693848,1.4007091522216797e-05,0.9976942274305556,False,False
178,intensity_sd_proxy,1,random,4,0.1640014946460724,0.05067847669124603,0.08080178499221802,-0.0007864236831665039,0.9980740017361112,False,False
178,intensity_sd_proxy,1,random,5,0.031097590923309326,0.24185802042484283,0.0055356621742248535,0.0001246929168701172,0.9977213541666666,False,False
178,intensity_sd_proxy,1,random,6,0.07619330286979675,0.13208149373531342,0.02681523561477661,8.046627044677734e-05,0.9977756076388888,False,False
178,intensity_sd_proxy,1,random,7,-0.02274167537689209,0.05804280936717987,0.03507965803146362,-0.00021439790725708008,0.9979112413194444,False,False
178,intensity_sd_proxy,1,random,8,-0.08925191313028336,0.13248732686042786,-0.06917530298233032,0.00043487548828125,0.9972330729166666,False,False
178,intensity_sd_proxy,1,random,9,-0.06978767365217209,0.13415347039699554,0.001769721508026123,-0.00011360645294189453,0.9977756076388888,False,False
178,intensity_sd_proxy,1,random,10,-0.012966051697731018,0.16147813200950623,0.056462228298187256,-0.0005614757537841797,0.9974772135416666,False,False
178,intensity_sd_proxy,1,random,11,-0.061857178807258606,0.055606260895729065,-0.03290611505508423,8.177757263183594e-05,0.9982367621527778,False,False
178,intensity_sd_proxy,1,random,12,0.04653280973434448,0.10029995441436768,0.00023609399795532227,-0.0007386207580566406,0.9968532986111112,False,False
178,intensity_sd_proxy,1,random,13,-0.03743135929107666,0.08756087720394135,0.05425679683685303,8.791685104370117e-05,0.9974500868055556,False,False
178,intensity_sd_proxy,1,random,14,0.10174590349197388,0.10362730920314789,0.018162667751312256,0.00021570920944213867,0.9966091579861112,False,False
178,intensity_sd_proxy,1,random,15,-0.10941453278064728,0.04575403779745102,0.08939462900161743,-0.0005538463592529297,0.9981553819444444,False,False
178,intensity_sd_proxy,1,random,16,0.018725574016571045,0.09095160663127899,-0.008946239948272705,0.00015676021575927734,0.9964735243055556,False,False
178,intensity_sd_proxy,1,random,17,-0.046179816126823425,0.06132127344608307,0.02175348997116089,-0.00039392709732055664,0.9973687065972222,False,False
178,intensity_sd_proxy,1,random,18,-0.04038351774215698,0.18094629049301147,-0.016931593418121338,5.996227264404297e-05,0.9972873263888888,False,False
178,intensity_sd_proxy,1,random,19,-0.016263529658317566,0.09656593203544617,0.08762049674987793,-0.0005944967269897461,0.9981282552083334,False,False
179,brightness_proxy,-1,gcia_proxy,-1,-2.0443742275238037,0.0,-0.04734054207801819,0.0007317066192626953,0.998046875,True,False
179,brightness_proxy,-1,random,0,-0.08712854236364365,0.16214299201965332,-0.029207438230514526,0.0003581047058105469,0.9983181423611112,False,False
179,brightness_proxy,-1,random,1,0.08723273128271103,0.10389041900634766,0.08123624324798584,0.00039082765579223633,0.9986436631944444,False,False
179,brightness_proxy,-1,random,2,0.030534787103533745,0.07176375389099121,-0.07221981883049011,0.00058746337890625,0.9990505642361112,False,False
179,brightness_proxy,-1,random,3,-0.03492284566164017,0.07334458827972412,0.04178762435913086,-0.0005151629447937012,0.9991319444444444,False,False
179,brightness_proxy,-1,random,4,-0.03903524577617645,0.0818781852722168,-0.04822206497192383,0.0004881620407104492,0.997802734375,False,False
179,brightness_proxy,-1,random,5,0.05197134613990784,0.09373170137405396,-0.12304477393627167,0.0002932548522949219,0.9987521701388888,False,False
179,brightness_proxy,-1,random,6,0.02319980040192604,0.17497539520263672,0.005649983882904053,-0.0006887912750244141,0.9981825086805556,False,False
179,brightness_proxy,-1,random,7,0.09332919120788574,0.07882171869277954,0.02322465181350708,-0.0004493594169616699,0.9984266493055556,False,False
179,brightness_proxy,-1,random,8,-0.04526036977767944,0.16322141885757446,0.05460122227668762,-0.00015807151794433594,0.9985080295138888,False,False
179,brightness_proxy,-1,random,9,-0.07128121703863144,0.11153492331504822,0.014808893203735352,-0.00036972761154174805,0.9986165364583334,False,False
179,brightness_proxy,-1,random,10,-0.01223846711218357,0.10247328877449036,-0.027854353189468384,-0.00038754940032958984,0.9990234375,False,False
179,brightness_proxy,-1,random,11,-0.06063484400510788,0.09624338150024414,0.04310920834541321,0.0002091526985168457,0.998291015625,False,False
179,brightness_proxy,-1,random,12,-0.0798741951584816,0.013620972633361816,0.022565394639968872,-0.00032776594161987305,0.997802734375,False,False
179,brightness_proxy,-1,random,13,-0.037223778665065765,0.07510894536972046,-0.006606578826904297,0.0003484487533569336,0.9983452690972222,False,False
179,brightness_proxy,-1,random,14,-0.021754177287220955,0.08353114128112793,-0.012672632932662964,-0.00015562772750854492,0.9986979166666666,False,False
