patient,seed,fraction,method,repeat,predicted_class_drop
106,11,0.1,random,0,0.008988467045128345
106,11,0.1,random,1,0.0014990950003266335
106,11,0.1,random,2,0.015434368513524532
106,11,0.1,random,3,0.01249289233237505
106,11,0.1,random,4,0.007217743434011936
106,11,0.1,random,5,0.011866885237395763
106,11,0.1,random,6,0.0002237679436802864
106,11,0.1,random,7,0.004671015776693821
106,11,0.1,random,8,0.003156122751533985
106,11,0.1,random,9,0.014172119088470936
106,11,0.1,random,10,0.008585651405155659
106,11,0.1,random,11,0.0028039831668138504
106,11,0.1,random,12,0.005056214518845081
106,11,0.1,random,13,0.01403531339019537
106,11,0.1,random,14,0.013849792070686817
106,11,0.1,random,15,0.00719547551125288
106,11,0.1,random,16,0.011068898253142834
106,11,0.1,random,17,0.008993481285870075
106,11,0.1,random,18,0.01209735032171011
106,11,0.1,random,19,0.00952631700783968
106,11,0.2,gnnexplainer,-1,0.1564708324149251
106,11,0.2,random,0,0.005769089795649052
106,11,0.2,random,1,0.00472839642316103
106,11,0.2,random,2,0.00927786249667406
106,11,0.2,random,3,0.02586411777883768
106,11,0.2,random,4,0.036586430855095387
106,11,0.2,random,5,0.012104573659598827
106,11,0.2,random,6,0.01905203703790903
106,11,0.2,random,7,0.003059876151382923
106,11,0.2,random,8,0.0654725106433034
106,11,0.2,random,9,0.006801356561481953
106,11,0.2,random,10,0.020543807186186314
106,11,0.2,random,11,0.012274510227143764
106,11,0.2,random,12,0.033534795977175236
106,11,0.2,random,13,0.03006842453032732
106,11,0.2,random,14,0.018018255941569805
106,11,0.2,random,15,0.025845096446573734
106,11,0.2,random,16,0.025765025056898594
106,11,0.2,random,17,0.014879842288792133
106,11,0.2,random,18,0.012323263101279736
106,11,0.2,random,19,0.01743131596595049
106,23,0.05,gnnexplainer,-1,0.01764554437249899
106,23,0.05,random,0,0.0046287355944514275
106,23,0.05,random,1,0.017445932142436504
106,23,0.05,random,2,0.003164638765156269
106,23,0.05,random,3,0.010407154448330402
106,23,0.05,random,4,0.005558687262237072
106,23,0.05,random,5,-0.00020755082368850708
106,23,0.05,random,6,0.008863343857228756
106,23,0.05,random,7,0.00168660469353199
106,23,0.05,random,8,0.005774061195552349
106,23,0.05,random,9,0.0005392897874116898
106,23,0.05,random,10,0.0023975279182195663
106,23,0.05,random,11,0.004477235488593578
106,23,0.05,random,12,0.0016696583479642868
106,23,0.05,random,13,0.007271199487149715
106,23,0.05,random,14,0.003068573772907257
106,23,0.05,random,15,-0.00048069562762975693
106,23,0.05,random,16,0.0035332487896084785
106,23,0.05,random,17,0.009875762276351452
106,23,0.05,random,18,0.001514652743935585
106,23,0.05,random,19,0.006790137849748135
106,23,0.1,gnnexplainer,-1,0.03768808487802744
106,23,0.1,random,0,0.010009861551225185
106,23,0.1,random,1,0.00836454052478075
106,23,0.1,random,2,0.003097319044172764
106,23,0.1,random,3,0.01578058023005724
106,23,0.1,random,4,0.01813951786607504
106,23,0.1,random,5,0.005707121454179287
106,23,0.1,random,6,0.003951455466449261
106,23,0.1,random,7,0.005243263207376003
106,23,0.1,random,8,0.010920894332230091
106,23,0.1,random,9,0.020393249578773975
106,23,0.1,random,10,0.0038644103333353996
106,23,0.1,random,11,0.009167020209133625
106,23,0.1,random,12,0.0032429201528429985
106,23,0.1,random,13,0.006227678619325161
106,23,0.1,random,14,0.005090623162686825
106,23,0.1,random,15,0.011562499217689037
106,23,0.1,random,16,0.00936234463006258
106,23,0.1,random,17,0.00891431700438261
106,23,0.1,random,18,0.012171824462711811
106,23,0.1,random,19,0.014873533509671688
106,23,0.2,gnnexplainer,-1,0.1390390219166875
106,23,0.2,random,0,0.019519330002367496
106,23,0.2,random,1,0.024547395296394825
106,23,0.2,random,2,0.010962414555251598
106,23,0.2,random,3,0.020522081293165684
106,23,0.2,random,4,0.026136339642107487
106,23,0.2,random,5,0.0069131916388869286
106,23,0.2,random,6,0.009987960569560528
106,23,0.2,random,7,0.02696032915264368
106,23,0.2,random,8,0.025334143079817295
106,23,0.2,random,9,0.020560377277433872
106,23,0.2,random,10,0.027170141227543354
106,23,0.2,random,11,0.022137203253805637
106,23,0.2,random,12,0.01640194933861494
106,23,0.2,random,13,0.03712205309420824
106,23,0.2,random,14,0.008157712407410145
106,23,0.2,random,15,0.04551671165972948
106,23,0.2,random,16,0.01776744704693556
106,23,0.2,random,17,0.03144324664026499
106,23,0.2,random,18,0.028645032085478306
106,23,0.2,random,19,0.013729664497077465
106,37,0.05,gnnexplainer,-1,0.012994355522096157
106,37,0.05,random,0,0.004516276530921459
106,37,0.05,random,1,-0.0005579721182584763
106,37,0.05,random,2,0.012212845496833324
106,37,0.05,random,3,0.003016764298081398
106,37,0.05,random,4,0.004662397317588329
106,37,0.05,random,5,0.002117754891514778
106,37,0.05,random,6,0.0032389508560299873
106,37,0.05,random,7,0.008668872527778149
106,37,0.05,random,8,0.005760428495705128
106,37,0.05,random,9,0.008430666290223598
106,37,0.05,random,10,0.0023828018456697464
106,37,0.05,random,11,0.002922961488366127
106,37,0.05,random,12,0.0033725155517458916
106,37,0.05,random,13,0.002581961452960968
106,37,0.05,random,14,0.0052270432934165
106,37,0.05,random,15,0.005639790557324886
106,37,0.05,random,16,0.00408345740288496
106,37,0.05,random,17,0.012824743054807186
106,37,0.05,random,18,0.0024921344593167305
106,37,0.05,random,19,0.007850668393075466
106,37,0.1,gnnexplainer,-1,0.04186464939266443
106,37,0.1,random,0,0.006913085468113422
106,37,0.1,random,1,0.010079164989292622
106,37,0.1,random,2,0.012533086352050304
106,37,0.1,random,3,0.004102221690118313
106,37,0.1,random,4,0.0033432533964514732
106,37,0.1,random,5,0.00784269254654646
106,37,0.1,random,6,0.016369245015084743
106,37,0.1,random,7,0.01042803842574358
106,37,0.1,random,8,0.013530089519917965
106,37,0.1,random,9,0.005542038939893246
106,37,0.1,random,10,0.012128490023314953
106,37,0.1,random,11,0.014850112609565258
106,37,0.1,random,12,0.0003457227721810341
106,37,0.1,random,13,-0.0005200495943427086
106,37,0.1,random,14,0.009631305001676083
106,37,0.1,random,15,0.013472779653966427
106,37,0.1,random,16,0.006466417573392391
106,37,0.1,random,17,0.013182205148041248
106,37,0.1,random,18,0.008737710304558277
106,37,0.1,random,19,-0.0002220161259174347
106,37,0.2,gnnexplainer,-1,0.1564708324149251
106,37,0.2,random,0,0.004513098858296871
106,37,0.2,random,1,0.01875689346343279
106,37,0.2,random,2,0.018292601220309734
106,37,0.2,random,3,0.017304313369095325
106,37,0.2,random,4,0.024672252126038074
106,37,0.2,random,5,0.0337901720777154
106,37,0.2,random,6,0.010364986024796963
106,37,0.2,random,7,0.015339496545493603
106,37,0.2,random,8,0.03619589004665613
106,37,0.2,random,9,0.020563439466059208
106,37,0.2,random,10,0.015129673294723034
106,37,0.2,random,11,0.01693106722086668
106,37,0.2,random,12,0.010343995876610279
106,37,0.2,random,13,-0.0010348586365580559
106,37,0.2,random,14,0.02680388931185007
106,37,0.2,random,15,0.020225410349667072
106,37,0.2,random,16,0.015477185137569904
106,37,0.2,random,17,0.02069427166134119
106,37,0.2,random,18,0.007553561590611935
106,37,0.2,random,19,0.01897642482072115
118,11,0.05,gnnexplainer,-1,0.07695764303207397
118,11,0.05,random,0,0.0054364800453186035
118,11,0.05,random,1,0.001823127269744873
118,11,0.05,random,2,-0.0011484026908874512
118,11,0.05,random,3,0.0017138123512268066
118,11,0.05,random,4,0.005776882171630859
118,11,0.05,random,5,0.027675211429595947
118,11,0.05,random,6,0.010922729969024658
118,11,0.05,random,7,-0.005718529224395752
118,11,0.05,random,8,0.001249849796295166
118,11,0.05,random,9,-0.006861269474029541
118,11,0.05,random,10,0.01284092664718628
118,11,0.05,random,11,-0.0013874173164367676
118,11,0.05,random,12,0.029091179370880127
118,11,0.05,random,13,0.02289050817489624
118,11,0.05,random,14,0.02403932809829712
118,11,0.05,random,15,0.005229175090789795
118,11,0.05,random,16,0.005291879177093506
