architecture,seed,concept,layer,test_patient,train_patients,mse,shuffled_mse,constant_mse
GCN,11,lymphocytic_infiltrate,0,TCGA-A2-A04Q,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04T|TCGA-A2-A0CM,0.3595697690177091,0.44940804530196565,0.4882590158420743
GCN,11,lymphocytic_infiltrate,1,TCGA-A2-A04Q,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04T|TCGA-A2-A0CM,0.3315705831232502,0.3975234063833516,0.4882590158420743
GCN,11,lymphocytic_infiltrate,2,TCGA-A2-A04Q,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04T|TCGA-A2-A0CM,0.3819849788275721,0.42603286544188784,0.4882590158420743
GCN,11,lymphocytic_infiltrate,0,TCGA-A2-A04T,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A0CM,0.022104387048394347,0.00604903273119122,0.02729143654427445
GCN,11,lymphocytic_infiltrate,1,TCGA-A2-A04T,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A0CM,0.03868700092354448,0.007229913717430476,0.02729143654427445
GCN,11,lymphocytic_infiltrate,2,TCGA-A2-A04T,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A0CM,0.005001580936662792,0.0039415738235550075,0.02729143654427445
GCN,11,lymphocytic_infiltrate,0,TCGA-A2-A0CM,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T,0.03628565238264582,0.022717895485499448,0.027979303513494418
GCN,11,lymphocytic_infiltrate,1,TCGA-A2-A0CM,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T,0.00990739416374193,0.009583924951718073,0.027979303513494418
GCN,11,lymphocytic_infiltrate,2,TCGA-A2-A0CM,TCGA-A1-A0SK|TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T,0.016197484287679684,0.027879854614690766,0.027979303513494418
GCN,23,tumor,0,TCGA-A1-A0SK,TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.018526803636045138,0.04401293649923074,0.09725998586063433
GCN,23,tumor,1,TCGA-A1-A0SK,TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.09076987005800985,0.11645564263463255,0.09725998586063433
GCN,23,tumor,2,TCGA-A1-A0SK,TCGA-A1-A0SP|TCGA-A2-A04P|TCGA-A2-A04Q|TCGA-A2-A04T|TCGA-A2-A0CM,0.060042349067276235,0.1097886687482286,0.09725998586063433
